iter	Passed	Remaining
0	2	206
1	3	182
2	5	176
3	6	161
4	8	160
5	10	158
6	11	157
7	13	155
8	15	155
9	16	152
10	18	151
11	20	148
12	21	145
13	23	143
14	25	142
15	26	140
16	28	138
17	30	136
18	31	134
19	33	132
20	34	130
21	36	128
22	37	127
23	39	125
24	41	123
25	42	121
26	44	120
27	46	118
28	47	117
29	49	115
30	51	114
31	52	112
32	54	110
33	55	108
34	57	107
35	59	105
36	60	103
37	62	102
38	64	100
39	65	98
40	67	97
41	68	94
42	69	92
43	71	90
44	72	89
45	74	87
46	76	85
47	77	84
48	79	82
49	81	81
50	82	79
51	84	77
52	85	76
53	87	74
54	88	72
55	90	71
56	92	69
57	93	67
58	95	66
59	96	64
60	98	62
61	100	61
62	101	59
63	103	58
64	105	56
65	106	55
66	108	53
67	110	51
68	111	50
69	113	48
70	114	46
71	116	45
72	118	43
73	119	42
74	121	40
75	123	38
76	124	37
77	126	35
78	127	34
79	129	32
80	131	30
81	133	29
82	134	27
83	136	26
84	138	24
85	139	22
86	141	21
87	142	19
88	144	17
89	146	16
90	147	14
91	149	12
92	151	11
93	152	9
94	154	8
95	155	6
96	157	4
97	159	3
98	160	1
99	162	0
