iter	Passed	Remaining
0	143	143764
1	146	73019
2	148	49272
3	150	37587
4	153	30523
5	155	25783
6	157	22408
7	160	19866
8	162	17878
9	164	16281
10	166	14969
11	168	13862
12	170	12930
13	172	12140
14	174	11461
15	176	10842
16	178	10302
17	180	9843
18	182	9433
19	184	9043
20	186	8692
21	188	8387
22	190	8099
23	192	7833
24	195	7619
25	197	7397
26	199	7187
27	201	7003
28	203	6829
29	205	6653
30	208	6506
31	210	6363
32	212	6224
33	214	6091
34	216	5968
35	219	5865
36	220	5750
37	222	5640
38	225	5556
39	227	5461
40	229	5366
41	231	5288
42	234	5209
43	236	5127
44	237	5047
45	240	4982
46	242	4914
47	244	4846
48	246	4783
49	248	4723
50	250	4660
51	252	4598
52	254	4542
53	256	4493
54	258	4445
55	260	4396
56	263	4351
57	265	4306
58	267	4259
59	269	4223
60	272	4192
61	274	4149
62	276	4113
63	278	4077
64	280	4038
65	282	3999
66	285	3972
67	287	3937
68	289	3899
69	290	3865
70	293	3837
71	295	3805
72	297	3772
73	299	3744
74	301	3716
75	303	3686
76	304	3655
77	307	3630
78	309	3605
79	311	3577
80	313	3552
81	315	3529
82	316	3496
83	318	3472
84	320	3444
85	322	3423
86	324	3402
87	326	3379
88	328	3358
89	330	3339
90	332	3320
91	334	3299
92	336	3281
93	338	3261
94	340	3243
95	342	3223
96	344	3208
97	346	3190
98	348	3171
99	350	3154
100	352	3141
101	354	3124
102	356	3104
103	358	3086
104	360	3070
105	361	3052
106	363	3034
107	365	3015
108	367	3001
109	368	2984
110	370	2967
111	372	2951
112	374	2937
113	376	2923
114	377	2907
115	379	2891
116	380	2874
117	382	2862
118	384	2847
119	386	2831
120	387	2817
121	389	2802
122	391	2790
123	392	2776
124	394	2761
125	396	2748
126	397	2734
127	399	2722
128	401	2710
129	403	2698
130	404	2686
131	406	2675
132	408	2663
133	410	2652
134	412	2643
135	414	2631
136	415	2619
137	417	2607
138	419	2598
139	421	2589
140	423	2578
141	424	2563
142	426	2554
143	428	2545
144	429	2534
145	431	2524
146	433	2514
147	435	2505
148	437	2496
149	439	2488
150	441	2483
151	443	2476
152	445	2468
153	447	2458
154	449	2452
155	451	2444
156	453	2434
157	454	2424
158	456	2416
159	458	2407
160	459	2395
161	461	2386
162	463	2377
163	464	2370
164	466	2362
165	468	2353
166	470	2345
167	472	2338
168	474	2331
169	475	2323
170	477	2315
171	480	2310
172	494	2361
173	496	2355
174	498	2347
175	499	2340
176	501	2333
177	504	2328
178	505	2320
179	507	2311
180	509	2303
181	510	2296
182	512	2288
183	514	2280
184	515	2272
185	517	2264
186	519	2258
187	521	2251
188	522	2243
189	524	2235
190	526	2229
191	528	2223
